"","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소","위도"
"11166","경상북도","경주","일반국도","14호","감은로",2,"경상북도 경주시 양북면 감은로 45","경상북도 경주시 양북면 어일리 1295-252",35.79120798
"11167","경상북도","경주","일반국도","14호","산업로",1,"경상북도 경주시 외동읍 죽동앞길 3","경상북도 경주시 외동읍 죽동리 272-13",35.74415778
"11168","경상북도","경주","일반국도","7호","산업로",1,"경상북도 경주시 외동읍 죽동앞길 3","경상북도 경주시 외동읍 죽동리 272-13",35.74415778
"11169","경상북도","경주","일반국도","7호","산업로",2,"경상북도 경주시 외동읍 관문로 1388","경상북도 경주시 외동읍 모화리 1165-5",35.68325004
"11170","경상북도","경주","일반국도","7호","산업로",2,"경상북도 경주시 외동읍 연안1길 3-1","경상북도 경주시 외동읍 연안리 777-73",35.72847427
"11171","경상북도","경주","일반국도","7호","산업로",1,"경상북도 경주시 강동면 산업로 5670-11","경상북도 경주시 강동면 오금리 산 21-4",35.98270196
"11172","경상북도","경주","일반국도","7호","산업로",2,"경상북도 경주시 강동면 강동로 8-58","경상북도 경주시 강동면 유금리 990-1",35.9906171
"11173","경상북도","경주","일반국도","7호","산업로",2,"경상북도 경주시 강동면 산업로 5917","경상북도 경주시 강동면 인동리 185-5",35.98526594
"11174","경상북도","경주","일반국도","7호","산업로",1,"경상북도 경주시 강동면 오금낙산길 99-1","경상북도 경주시 강동면 오금리 966-1",35.98467877
"11175","경상북도","경주","일반국도","7호","삼호로",1,"경상북도 포항시 북구 삼호로 509","경상북도 포항시 북구 환호동 491",36.07309834
"11176","경상북도","포항북부","시도","","희망대로",1,"경상북도 포항시 남구 희망대로 677","경상북도 포항시 남구 상도동 592-1",36.01074963
"11177","경상북도","포항남부","시도","","북순환로",1,"경상북도 안동시 북순환로 90","경상북도 안동시 상아동 233",36.58286342
"11178","경상북도","안동","시도","","해마루공원로",2,"경상북도 구미시 산동면 신당인덕3로 1","경상북도 구미시 산동면 인덕리 1102",36.16163878
"11179","경상북도","구미","시도","","해마루공원로",2,"경상북도 구미시 산동면 신당인덕3로 1","경상북도 구미시 산동면 인덕리 1102",36.16163878
"11180","경기도","김포시","일반국도","48번","김포대로",3,"","경기도 김포시 고촌읍 신곡리 561-4",37.602871
"11181","경상북도","상주","기타","","개경포로",2,"경상북도 고령군 개진면 내동길 24","경상북도 고령군 개진면 양전리 65-1",35.72918229
